GDAY_DS,T_ID,P_ID,TB_SC,BF,PA-AB,AB,HIT,H1,H2,H3,HR,SB_SR,KK,WP,SLG,BABIP,KK9,BB9,INN2,ER
2020-05-08,KT,50030.0,T,84.0,1.0,20.0,5.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.2777777777777778,3.6,1.8,19,2
2020-05-15,KT,50030.0,B,89.0,1.0,28.0,9.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.3333333333333333,2.8421052631578947,0.0,16,8
2020-05-21,KT,50030.0,B,85.0,2.0,24.0,9.0,7.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.3809523809523809,3.375,3.375,15,5
2020-05-28,KT,50030.0,B,90.0,1.0,23.0,9.0,6.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,0.3684210526315789,3.6,1.8,21,0
2020-06-03,KT,50030.0,B,96.0,3.0,22.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,2.5714285714285707,3.8571428571428568,15,3
2020-06-09,KT,50030.0,B,97.0,3.0,17.0,4.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,0.2307692307692308,5.4,3.6,14,7
2020-06-14,KT,50030.0,T,93.0,3.0,21.0,8.0,5.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,0.35294117647058826,3.8571428571428568,5.7857142857142865,15,2
2020-06-20,KT,50030.0,B,89.0,2.0,20.0,5.0,3.0,2.0,0.0,0.0,0.0,5.0,1.0,2.0,0.3333333333333333,9.0,3.6,8,5
2020-06-26,KT,50030.0,T,60.0,2.0,16.0,9.0,8.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.6428571428571429,6.75,3.375,18,2
2020-07-11,KT,50030.0,B,87.0,3.0,23.0,5.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.2380952380952381,3.0,4.5,18,2
2020-05-26,KT,50036.0,B,14.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,9.0,6,2
2020-05-30,KT,50036.0,T,28.0,2.0,8.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.42857142857142855,9.0,4.5,6,1
2020-06-04,KT,50036.0,B,48.0,2.0,10.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4444444444444444,4.5,9.0,2,1
2020-05-05,KT,50040.0,B,83.0,0.0,21.0,4.0,3.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.3076923076923077,12.0,0.0,15,3
2020-05-12,KT,50040.0,T,112.0,2.0,21.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.4,10.8,3.6,18,1
2020-05-17,KT,50040.0,B,98.0,1.0,23.0,5.0,4.0,1.0,0.0,0.0,0.5,4.0,1.0,1.0,0.2631578947368421,6.0,1.5,21,1
2020-05-22,KT,50040.0,T,95.0,0.0,27.0,6.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.25,3.8571428571428568,0.0,24,0
2020-05-27,KT,50040.0,B,112.0,4.0,27.0,4.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.2,7.875000000000001,4.5,15,10
2020-06-02,KT,50040.0,B,85.0,0.0,29.0,15.0,10.0,3.0,0.0,2.0,0.0,2.0,0.0,5.0,0.52,3.6,0.0,15,4
2020-06-07,KT,50040.0,T,104.0,3.0,21.0,7.0,4.0,3.0,0.0,0.0,0.0,4.0,0.0,3.0,0.4117647058823529,7.2,5.4,15,4
2020-06-13,KT,50040.0,T,99.0,2.0,21.0,6.0,4.0,1.0,0.0,1.0,0.0,5.0,2.0,2.0,0.3333333333333333,9.0,3.6,21,2
2020-06-18,KT,50040.0,T,109.0,5.0,23.0,6.0,5.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.2631578947368421,3.8571428571428568,6.428571428571428,18,4
2020-06-23,KT,50040.0,B,94.0,5.0,21.0,6.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,3.0,0.2631578947368421,3.0,4.5,18,4
2020-06-28,KT,50040.0,T,102.0,3.0,23.0,6.0,3.0,2.0,0.0,1.0,0.0,5.0,0.0,3.0,0.29411764705882354,7.5,3.0,21,1
2020-07-03,KT,50040.0,B,117.0,2.0,27.0,6.0,4.0,1.0,0.0,1.0,1.0,7.0,0.0,2.0,0.2631578947368421,9.0,2.5714285714285707,20,3
2020-07-08,KT,50040.0,T,107.0,2.0,26.0,7.0,6.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.3,8.1,1.35,21,1
